diagnosis_DSM5,description
D5_16.01.09.01,Stoornis in tabaksgebruik
D5_16.01.09.01.01,Stoornis in tabaksgebruik: licht
D5_16.01.09.01.02,"Stoornis in tabaksgebruik: matig, ernstig"
D5_16.01.09.02,Tabaksonttrekkingssyndroom
D5_16.01.09.03,Ongespecificeerde tabaksgerelateerde stoornis
D5_16.01.10,Stoornissen gerelateerd aan een ander (of onbekend) middel
D5_16.01.10.01,Stoornis in het gebruik van een ander (of onbekend) middel
D5_16.01.10.01.01,Stoornis in het gebruik van een ander (of onbekend) middel: licht
D5_16.01.10.01.02,"Stoornis in het gebruik van een ander (of onbekend) middel: matig, ernstig"
D5_16.01.10.02,Intoxicatie door een ander (of onbekend) middel
D5_16.01.10.03,Onttrekkingssyndroom van een ander (of onbekend) middel
D5_16.01.10.04,Ongespecificeerde stoornis gerelateerd aan een ander (of onbekend) middel
D5_16.02,Niet-middelgerelateerde stoornissen
D5_16.02.01,Gokstoornis
D5_17,Neurocognitieve stoornissen
D5_17.01,Delirium
D5_17.01.01,Delirium door intoxicatie door een middel
D5_17.01.01.01,Delirium door intoxicatie door alcohol
D5_17.01.01.02,Delirium door intoxicatie door stimulantia
D5_17.01.01.03,Delirium door intoxicatie door cannabis
D5_17.01.01.04,Delirium door intoxicatie door coca�ne
D5_17.01.01.05,Delirium door intoxicatie door andere hallucinogenen
D5_17.01.01.06,Delirium door intoxicatie door inhalantia
D5_17.01.01.07,Delirium door intoxicatie door opio�den
D5_17.01.01.08,Delirium door intoxicatie door fencyclidine
D5_17.01.01.09,Delirium door intoxicatie door hypnotica of anxiolytica
D5_17.01.01.10,Delirium door intoxicatie door ander (of onbekend) middel
D5_17.01.02,Delirium door onttrekking van een middel
D5_17.01.02.01,Delirium door onttrekking van alcohol
D5_17.01.02.02,Delirium door onttrekking van opio�den
D5_17.01.02.03,Delirium door onttrekking van hypnotica of anxiolytica
D5_17.01.02.04,Delirium door onttrekking van een ander (of onbekend) middel
D5_17.01.03,Delirium door medicatie
D5_17.01.04,Delirium door een somatische aandoening
D5_17.01.05,Delirium door multipele oorzaken
D5_17.01.06,Andere delirium
D5_17.01.06.01,Ander gespecificeerde delirium
D5_17.01.06.02,Ongespecificeerde delirium
D5_17.02,Uitgebreide of beperkte neurocognitieve stoornissen
D5_17.02.01,Uitgebreide neurocognitieve stoornis door de ziekte van Alzheimer
D5_17.02.01.01,Uitgebreide neurocognitieve stoornis door de ziekte van Alzheimer: met gedragsstoornissen
D5_17.02.01.02,Uitgebreide neurocognitieve stoornis door de ziekte van Alzheimer: zonder gedragsstoornissen
D5_17.02.02,Beperkte neurocognitieve stoornis door de ziekte van Alzheimer
D5_17.02.02.01,Beperkte neurocognitieve stoornis door de ziekte van Alzheimer: met gedragsstoornissen
D5_17.02.02.02,Beperkte neurocognitieve stoornis door de ziekte van Alzheimer: zonder gedragsstoornissen
D5_17.03,Uitgebreide of beperkte frontotemporale neurocognitieve stoornis
